Entity,Code,Year,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)"
United States,USA,1990,54.33869
United States,USA,1991,54.247215
United States,USA,1992,54.15574
United States,USA,1993,54.064262
United States,USA,1994,53.972782
United States,USA,1995,53.881306
United States,USA,1996,53.78983
United States,USA,1997,53.698353
United States,USA,1998,53.606876
United States,USA,1999,53.5154
United States,USA,2000,53.423923
United States,USA,2001,53.58903
United States,USA,2002,53.753773
United States,USA,2003,53.918144
United States,USA,2004,54.08215
United States,USA,2005,54.245785
United States,USA,2006,53.696968
United States,USA,2007,53.11642
United States,USA,2008,52.50131
United States,USA,2009,51.84845
United States,USA,2010,51.154266
United States,USA,2011,50.41795
United States,USA,2012,49.6557
United States,USA,2013,48.866127
United States,USA,2014,48.04773
United States,USA,2015,47.198902
United States,USA,2016,47.198902
United States,USA,2017,47.198902
United States,USA,2018,47.198902
United States,USA,2019,47.198902
United States,USA,2020,47.198902
United States,USA,2021,47.198902
United States,USA,2022,47.198902